要件ID	種別	優先度	要件実現対象	構築場所	担当	担当の理由	項目	概要	① 基本設計	② 詳細設計	③ 製造	④ テスト	状況	Keycloak-IdP 側
FR-AUTH-001-a	機能要件	Must	対象	Keycloak-Broker	インフラ（本基盤）	Keycloak-Broker にローカルで残るのは運用者だけ。認証は WebAuthn 必須（NFR-SEC-021）	ID/PW 認証（ローカルユーザー）（本基盤運用者）	ID とパスワードで直接ログインできること。顧客IdP を持たない顧客のユーザは Keycloak-IdP（アプリ責務）、本基盤の運用者は Keycloak-Broker（NFR-SEC-021）で満たす	HB-F-AUTH-01 HG-09	DDB-19	MKB-31	SEC-10	全工程あり	アプリ（主体）
FR-AUTH-001-b	機能要件	Must	対象	Keycloak-IdP	アプリ（Keycloak-IdP）	Keycloak-IdP に収容するユーザの話。本基盤は ROSA の引き渡しまで（NFR-OPS-012）	ID/PW 認証（ローカルユーザー）（顧客IdP を持たない顧客のユーザ）	ID とパスワードで直接ログインできること。顧客IdP を持たない顧客のユーザは Keycloak-IdP（アプリ責務）、本基盤の運用者は Keycloak-Broker（NFR-SEC-021）で満たす					アプリ側で実施（Keycloak-IdP 側。本基盤は ROSA の引き渡しまで＝NFR-OPS-012）	アプリ（主体）
FR-AUTH-002	機能要件	Must	対象	Keycloak-Broker	インフラ（本基盤）	—	Authorization Code + PKCE（SPA / モバイル）	画面を持つアプリが、標準の手順（認可コード＋PKCE）でログインを開始し JWT を受け取れること	GD-09 GD-10 GD-14 GD-15 HB-F-AUTH-05 HE-14 HJ-02a HJ-09 HJ-10a	DDB-01 DDB-14 DDE-01 DDI-02	MKB-02 MKB-03 MKB-22 MKI-02 MKI-13	IT-07 ST-04	全工程あり	—
FR-AUTH-003	機能要件	Must	対象	Keycloak-Broker	インフラ（本基盤）	—	Authorization Code + client_secret（SSR）	サーバ側で処理するアプリが、接続用パスワードを使う標準の手順でログインできること	GD-09 GD-10 GD-14 GD-15 HB-F-AUTH-05 HE-14 HJ-02a HJ-09 HJ-10a	DDB-01 DDB-14 DDE-01 DDI-02	MKB-02 MKB-03 MKB-22 MKI-02 MKI-13	IT-01 IT-07 RI-01 RI-02 ST-04	全工程あり	—
FR-AUTH-004	機能要件	Must	対象	Keycloak-Broker	インフラ（本基盤）	—	Client Credentials（M2M）	人ではなくシステムが API を呼ぶための資格を発行できること	HB-F-AZ-07	DDB-13	MKB-21 MKI-12	IT-06	全工程あり	—
FR-AUTH-005	機能要件	TBD	対象外	—	—	Phase 1 では作らない。必要になれば Keycloak の標準機能で足せる	Token Exchange（RFC 8693）	あるアプリ向けの JWT を、別のアプリ向けに交換できること					Phase 1 では作らない	—
FR-AUTH-006	機能要件	不要	対象外	—	—	2026-08-16 の判断で Phase 1 対象外	Device Code Flow（画面のない機器・CLI 向けログイン）	画面のない機器や CLI からログインできること					Phase 1 では作らない	—
FR-AUTH-007	機能要件	不要	対象外	—	—	2026-08-16 の判断で対象外。金融水準の顧客が現れたときに再評価	mTLS Client Authentication（RFC 8705、証明書によるアプリ認証）	証明書でアプリを認証できること					Phase 1 では作らない	—
FR-AUTH-008	機能要件	Won't	対象外	—	—	採用しない（安全でないため）	ROPC（Password Grant）	アプリがユーザのパスワードを直接受け取ってログインさせる方式					Phase 1 では作らない	—
FR-AUTH-009	機能要件	Must	対象	Keycloak-IdP	アプリ（Keycloak-IdP）	ローカルに収容するユーザだけの話。フェデレーションのユーザは顧客IdP 側の規則に従う	パスワードポリシー（最小長・複雑性）	パスワードの最小の長さと文字種の組み合わせを決められること					アプリ側で実施（Keycloak-IdP 側。本基盤は ROSA の引き渡しまで＝NFR-OPS-012）	アプリ（主体）
FR-AUTH-010	機能要件	Should	対象	Keycloak-IdP	アプリ（Keycloak-IdP）	同上	パスワード履歴（N 個と一致禁止）	過去に使ったパスワードを一定個数まで再利用させないこと					アプリ側で実施（Keycloak-IdP 側。本基盤は ROSA の引き渡しまで＝NFR-OPS-012）	アプリ（主体）
FR-AUTH-011	機能要件	Must	対象	Keycloak-IdP	アプリ（Keycloak-IdP）	パスワードのロックは Keycloak-IdP 側（アプリ）。Keycloak-Broker はパスワードを持たないため、本基盤側の対策は NFR-SEC-010（実在推測の防止・試行回数の制限）で扱う	アカウントロック（連続失敗）	パスワードを連続で間違えたら一時的にログインを受け付けないこと					アプリ側で実施（Keycloak-IdP 側）	アプリ（主体）
FR-AUTH-012	機能要件	Should	対象	Keycloak-IdP	アプリ（Keycloak-IdP）	同上	パスワード有効期限	パスワードに有効期限を設けられること					アプリ側で実施（Keycloak-IdP 側。本基盤は ROSA の引き渡しまで＝NFR-OPS-012）	アプリ（主体）
FR-AUTH-013	機能要件	Must	対象	Keycloak-IdP	アプリ（Keycloak-IdP）	同上	セルフサービスパスワードリセット	ユーザが自分でパスワードを再設定できること					アプリ側で実施	アプリ（主体）
